timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, pstate, clocks.current.sm [MHz]
2025/12/17 12:48:45.179, 0, 52 %, 11 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:48:50.181, 0, 22 %, 7 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:48:55.184, 0, 18 %, 4 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:49:00.188, 0, 13 %, 3 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:49:05.190, 0, 39 %, 8 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:49:10.192, 0, 26 %, 5 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:49:15.194, 0, 26 %, 6 %, 37541 MiB, 40960 MiB, [N/A], P0, 1380 MHz
2025/12/17 12:49:20.196, 0, 24 %, 8 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:49:25.198, 0, 23 %, 8 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:49:30.200, 0, 28 %, 6 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:49:35.202, 0, 26 %, 6 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:49:40.205, 0, 45 %, 10 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:49:45.207, 0, 32 %, 6 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:49:50.209, 0, 35 %, 9 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:49:55.211, 0, 20 %, 7 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:00.214, 0, 32 %, 6 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:05.216, 0, 32 %, 7 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:10.218, 0, 13 %, 3 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:15.221, 0, 26 %, 5 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:50:20.223, 0, 19 %, 4 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:25.226, 0, 23 %, 8 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:30.229, 0, 32 %, 6 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:35.234, 0, 32 %, 7 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:40.236, 0, 26 %, 5 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:50:45.238, 0, 28 %, 6 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:50:50.241, 0, 26 %, 5 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:50:55.243, 0, 21 %, 7 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:51:00.246, 0, 32 %, 6 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:51:05.248, 0, 52 %, 11 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:51:10.250, 0, 26 %, 5 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:51:15.252, 0, 39 %, 8 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:51:20.255, 0, 13 %, 3 %, 37541 MiB, 40960 MiB, [N/A], P0, 1380 MHz
