timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, pstate, clocks.current.sm [MHz]
2025/12/17 13:15:09.538, 0, 0 %, 0 %, 417 MiB, 40960 MiB, [N/A], P0, 1320 MHz
2025/12/17 13:15:14.540, 0, 0 %, 0 %, 457 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:15:19.542, 0, 15 %, 1 %, 18729 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:15:24.572, 0, 6 %, 1 %, 18825 MiB, 40960 MiB, [N/A], P0, 1380 MHz
2025/12/17 13:15:29.574, 0, 14 %, 2 %, 18913 MiB, 40960 MiB, [N/A], P0, 1380 MHz
2025/12/17 13:15:34.576, 0, 13 %, 2 %, 19005 MiB, 40960 MiB, [N/A], P0, 1260 MHz
2025/12/17 13:15:39.578, 0, 0 %, 0 %, 19005 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:15:44.580, 0, 0 %, 0 %, 19035 MiB, 40960 MiB, [N/A], P0, 1275 MHz
2025/12/17 13:15:49.582, 0, 39 %, 9 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:15:54.585, 0, 39 %, 8 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:15:59.586, 0, 26 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:16:04.589, 0, 16 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:16:09.591, 0, 24 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:16:14.594, 0, 32 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:16:19.596, 0, 39 %, 8 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:16:24.598, 0, 39 %, 8 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:16:29.600, 0, 26 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1380 MHz
2025/12/17 13:16:34.602, 0, 20 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:16:39.605, 0, 18 %, 4 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:16:44.607, 0, 7 %, 1 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:16:49.609, 0, 26 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:16:54.612, 0, 32 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:16:59.613, 0, 19 %, 4 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:17:04.616, 0, 21 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:17:09.618, 0, 23 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:17:14.620, 0, 19 %, 4 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:17:19.621, 0, 28 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:17:24.623, 0, 13 %, 2 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:17:29.625, 0, 32 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:17:34.628, 0, 21 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:17:39.630, 0, 27 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:17:44.632, 0, 19 %, 4 %, 19067 MiB, 40960 MiB, [N/A], P0, 1380 MHz
2025/12/17 13:17:49.634, 0, 32 %, 7 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:17:54.637, 0, 19 %, 4 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:17:59.639, 0, 49 %, 10 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:18:04.641, 0, 18 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:18:09.644, 0, 26 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:18:14.646, 0, 19 %, 3 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:18:19.649, 0, 52 %, 11 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:18:24.651, 0, 39 %, 8 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:18:29.653, 0, 19 %, 4 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:18:34.655, 0, 17 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:18:39.657, 0, 27 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:18:44.659, 0, 26 %, 5 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:18:49.661, 0, 32 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:18:54.663, 0, 13 %, 2 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 13:18:59.665, 0, 13 %, 2 %, 19067 MiB, 40960 MiB, [N/A], P0, 1380 MHz
2025/12/17 13:19:04.667, 0, 20 %, 6 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:19:09.669, 0, 12 %, 3 %, 19067 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 13:19:14.674, 0, 42 %, 9 %, 19067 MiB, 40960 MiB, [N/A], P0, 1395 MHz
