timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, pstate, clocks.current.sm [MHz]
2025/12/17 12:45:46.777, 0, 19 %, 4 %, 37541 MiB, 40960 MiB, [N/A], P0, 1380 MHz
2025/12/17 12:45:51.779, 0, 39 %, 8 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:45:56.781, 0, 45 %, 10 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:46:01.783, 0, 52 %, 10 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:46:06.785, 0, 39 %, 10 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:46:11.787, 0, 23 %, 8 %, 37541 MiB, 40960 MiB, [N/A], P0, 1410 MHz
2025/12/17 12:46:16.789, 0, 26 %, 5 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
2025/12/17 12:46:21.792, 0, 26 %, 5 %, 37541 MiB, 40960 MiB, [N/A], P0, 1395 MHz
