Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,kl,rewards / function_works / mean,rewards / function_works / std,rewards / no_cheating / mean,rewards / no_cheating / std,rewards / strategy_succeeds / mean,rewards / strategy_succeeds / std
35,0.000486,7.000000,3.200000,236.750000,228.000000,247.000000,0.000000,236.750000,228.000000,247.000000,0.486522,1.000000,0.000000,1.000000,0.000000,5.000000,3.200000
36,0.000220,5.550000,3.700000,245.750000,225.000000,278.000000,0.000000,245.750000,225.000000,278.000000,0.220045,1.000000,0.000000,1.000000,0.000000,3.550000,3.700000
37,0.000186,6.900000,2.200000,225.500000,216.000000,232.000000,0.000000,225.500000,216.000000,232.000000,0.186056,1.000000,0.000000,1.000000,0.000000,4.900000,2.200000
38,0.001616,7.200000,0.000000,232.250000,224.000000,253.000000,0.000000,232.250000,224.000000,253.000000,1.616130,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
39,0.001015,6.250000,2.700000,233.000000,225.000000,248.000000,0.000000,233.000000,225.000000,248.000000,1.014826,1.000000,0.000000,1.000000,0.000000,4.250000,2.700000
40,0.000133,8.000000,0.000000,229.500000,224.000000,243.000000,0.000000,229.500000,224.000000,243.000000,0.133149,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
41,0.000236,7.400000,0.000000,230.500000,224.000000,245.000000,0.000000,230.500000,224.000000,245.000000,0.236274,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
42,0.000109,8.600000,0.000000,223.250000,219.000000,225.000000,0.000000,223.250000,219.000000,225.000000,0.108984,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
43,0.000159,8.400000,0.000000,224.000000,219.000000,228.000000,0.000000,224.000000,219.000000,228.000000,0.159258,1.000000,0.000000,1.000000,0.000000,6.400000,0.000000
44,0.000284,7.200000,0.000000,230.250000,222.000000,247.000000,0.000000,230.250000,222.000000,247.000000,0.283883,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
45,0.000134,7.400000,0.000000,224.500000,223.000000,226.000000,0.000000,224.500000,223.000000,226.000000,0.134169,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
46,0.000087,8.600000,0.000000,225.500000,225.000000,226.000000,0.000000,225.500000,225.000000,226.000000,0.086813,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
47,0.000131,8.600000,0.000000,223.750000,219.000000,226.000000,0.000000,223.750000,219.000000,226.000000,0.131158,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
48,0.000188,8.000000,0.000000,220.250000,213.000000,225.000000,0.000000,220.250000,213.000000,225.000000,0.188376,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
49,0.000117,8.000000,0.000000,222.250000,219.000000,224.000000,0.000000,222.250000,219.000000,224.000000,0.117363,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
50,0.000365,4.950000,4.346263,250.250000,225.000000,266.000000,0.000000,250.250000,225.000000,266.000000,0.365438,1.000000,0.000000,1.000000,0.000000,2.950000,4.346262
51,0.000432,7.800000,0.000000,230.000000,224.000000,245.000000,0.000000,230.000000,224.000000,245.000000,0.431838,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
