Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,kl,rewards / function_works / mean,rewards / function_works / std,rewards / no_cheating / mean,rewards / no_cheating / std,rewards / strategy_succeeds / mean,rewards / strategy_succeeds / std
147,0.000338,7.800000,0.000000,227.500000,217.000000,236.000000,0.000000,227.500000,217.000000,236.000000,0.338073,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
148,0.000239,8.600000,0.000000,231.750000,219.000000,236.000000,0.000000,231.750000,219.000000,236.000000,0.239460,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
149,0.000496,5.100000,5.400000,229.000000,221.000000,238.000000,0.000000,229.000000,221.000000,238.000000,0.496316,0.250000,1.500000,0.500000,1.000000,4.350000,2.900000
150,0.000159,8.400000,0.000000,220.500000,219.000000,221.000000,0.000000,220.500000,219.000000,221.000000,0.158834,1.000000,0.000000,1.000000,0.000000,6.400000,0.000000
151,0.000217,8.000000,0.000000,217.750000,212.000000,221.000000,0.000000,217.750000,212.000000,221.000000,0.216829,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
152,0.000164,32.000000,0.000000,220.500000,219.000000,221.000000,0.000000,220.500000,219.000000,221.000000,0.163967,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
153,0.000489,32.000000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.488515,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
154,0.000175,8.200000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.175235,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
155,0.000190,8.200000,0.000000,219.500000,217.000000,221.000000,0.000000,219.500000,217.000000,221.000000,0.190364,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
156,0.000174,8.200000,0.000000,220.500000,219.000000,221.000000,0.000000,220.500000,219.000000,221.000000,0.173739,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
157,0.000294,7.600000,0.000000,219.500000,217.000000,224.000000,0.000000,219.500000,217.000000,224.000000,0.294017,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
158,0.000167,7.400000,0.000000,220.500000,220.000000,221.000000,0.000000,220.500000,220.000000,221.000000,0.166969,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
159,0.000190,7.200000,0.000000,219.000000,217.000000,221.000000,0.000000,219.000000,217.000000,221.000000,0.190129,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
160,0.000212,8.200000,0.000000,219.750000,217.000000,221.000000,0.000000,219.750000,217.000000,221.000000,0.212191,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
161,0.000259,8.000000,0.000000,219.500000,216.000000,221.000000,0.000000,219.500000,216.000000,221.000000,0.258677,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
162,0.000324,8.000000,0.000000,223.000000,221.000000,229.000000,0.000000,223.000000,221.000000,229.000000,0.324129,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
163,0.000196,8.200000,0.000000,219.250000,216.000000,221.000000,0.000000,219.250000,216.000000,221.000000,0.195807,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
164,0.000269,8.600000,0.000000,219.500000,212.000000,224.000000,0.000000,219.500000,212.000000,224.000000,0.268972,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
165,0.000162,8.200000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.162191,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
166,0.000178,32.000000,0.000000,220.000000,217.000000,221.000000,0.000000,220.000000,217.000000,221.000000,0.178190,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
167,0.000221,7.400000,0.000000,221.250000,221.000000,222.000000,0.000000,221.250000,221.000000,222.000000,0.221136,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
168,0.000170,32.000000,0.000000,219.750000,218.000000,221.000000,0.000000,219.750000,218.000000,221.000000,0.170279,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
169,0.000220,7.600000,0.000000,218.750000,217.000000,221.000000,0.000000,218.750000,217.000000,221.000000,0.220458,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
170,0.000178,8.200000,0.000000,220.000000,219.000000,221.000000,0.000000,220.000000,219.000000,221.000000,0.178102,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
171,0.000174,8.000000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.173601,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
172,0.000217,8.000000,0.000000,220.500000,219.000000,222.000000,0.000000,220.500000,219.000000,222.000000,0.216681,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
173,0.000176,7.800000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.176045,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
174,0.000182,8.000000,0.000000,219.750000,218.000000,221.000000,0.000000,219.750000,218.000000,221.000000,0.181666,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
175,0.000339,0.350000,14.900000,223.250000,221.000000,230.000000,0.000000,223.250000,221.000000,230.000000,0.339457,0.250000,1.500000,-4.250000,10.500000,4.350000,2.900000
176,0.000210,6.800000,0.000000,220.500000,219.000000,221.000000,0.000000,220.500000,219.000000,221.000000,0.209935,1.000000,0.000000,1.000000,0.000000,4.800000,0.000000
177,0.000267,8.600000,0.000000,219.250000,218.000000,221.000000,0.000000,219.250000,218.000000,221.000000,0.266726,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
178,0.000217,8.600000,0.000000,218.500000,217.000000,221.000000,0.000000,218.500000,217.000000,221.000000,0.217193,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
179,0.000319,7.800000,0.000000,220.750000,219.000000,224.000000,0.000000,220.750000,219.000000,224.000000,0.318963,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
180,0.000201,7.800000,0.000000,220.000000,217.000000,221.000000,0.000000,220.000000,217.000000,221.000000,0.201497,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
181,0.000218,8.000000,0.000000,219.250000,216.000000,221.000000,0.000000,219.250000,216.000000,221.000000,0.218366,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
182,0.000220,7.600000,0.000000,219.000000,216.000000,221.000000,0.000000,219.000000,216.000000,221.000000,0.220147,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
183,0.000180,8.000000,0.000000,220.750000,220.000000,221.000000,0.000000,220.750000,220.000000,221.000000,0.179855,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
184,0.000169,8.600000,0.000000,220.000000,218.000000,221.000000,0.000000,220.000000,218.000000,221.000000,0.169247,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
185,0.000181,7.200000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.181115,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
186,0.000199,7.800000,0.000000,219.500000,217.000000,221.000000,0.000000,219.500000,217.000000,221.000000,0.199089,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
187,0.000185,8.200000,0.000000,220.500000,219.000000,221.000000,0.000000,220.500000,219.000000,221.000000,0.185471,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
188,0.000203,7.600000,0.000000,219.750000,216.000000,221.000000,0.000000,219.750000,216.000000,221.000000,0.203133,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
189,0.000212,7.600000,0.000000,219.250000,216.000000,221.000000,0.000000,219.250000,216.000000,221.000000,0.211777,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
190,0.000193,8.400000,0.000000,219.250000,217.000000,221.000000,0.000000,219.250000,217.000000,221.000000,0.192612,1.000000,0.000000,1.000000,0.000000,6.400000,0.000000
191,0.000235,8.600000,0.000000,219.750000,216.000000,221.000000,0.000000,219.750000,216.000000,221.000000,0.234601,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
192,0.000199,0.500000,15.000000,218.750000,217.000000,221.000000,0.000000,218.750000,217.000000,221.000000,0.198628,0.250000,1.500000,-4.250000,10.500000,4.500000,3.000000
193,0.000204,8.600000,0.000000,219.250000,216.000000,221.000000,0.000000,219.250000,216.000000,221.000000,0.203856,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
194,0.000217,32.000000,0.000000,218.250000,216.000000,221.000000,0.000000,218.250000,216.000000,221.000000,0.216540,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
195,0.000262,8.400000,0.000000,218.500000,216.000000,221.000000,0.000000,218.500000,216.000000,221.000000,0.262263,1.000000,0.000000,1.000000,0.000000,6.400000,0.000000
196,0.000185,7.400000,0.000000,220.500000,219.000000,221.000000,0.000000,220.500000,219.000000,221.000000,0.184834,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
197,0.000173,8.000000,0.000000,220.000000,218.000000,221.000000,0.000000,220.000000,218.000000,221.000000,0.173441,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
198,0.000283,8.600000,0.000000,218.250000,215.000000,221.000000,0.000000,218.250000,215.000000,221.000000,0.282869,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
199,0.000171,7.600000,0.000000,220.000000,219.000000,221.000000,0.000000,220.000000,219.000000,221.000000,0.170614,1.000000,0.000000,1.000000,0.000000,5.600000,0.000000
200,0.000180,8.600000,0.000000,218.750000,217.000000,220.000000,0.000000,218.750000,217.000000,220.000000,0.179716,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
